Rxn name	Rxn description	Formula	Gene-reaction association	Reversible	LB	UB	Objective
HMR_1896		m1720 + m1752 + m2722  => m1606 + m1754 + m3631 	(ENSG00000103222)	0	 -0.00	1000.00	  0.00
HMR_1897		m1725 + m1756 + m2728  => m1610 + m1757 + m3637 	(ENSG00000103222)	0	 -0.00	1000.00	  0.00
HMR_8262		m2565 + m3108  => m2559 + m4084 	(ENSG00000176920)	0	 -0.00	1000.00	  0.00
HMR_8263		m4084 + m4113  => m4081 + m4098 	(ENSG00000175164)	0	 -0.00	1000.00	  0.00
HMR_8264		m2565 + m4081  => m2475 + m2559 	(ENSG00000130383) or (ENSG00000156413) or (ENSG00000171124)	0	 -0.00	1000.00	  0.00
HMR_8267		m4084 + m4105  => m4083 + m4098 	(ENSG00000256062)	0	 -0.00	1000.00	  0.00
HMR_8268		m2565 + m4083  => m2476 + m2559 	(ENSG00000130383) or (ENSG00000156413) or (ENSG00000171124)	0	 -0.00	1000.00	  0.00
HMR_8271		m2565 + m4084  => m2559 + m2642 	(ENSG00000130383) or (ENSG00000156413) or (ENSG00000171124)	0	 -0.00	1000.00	  0.00
HMR_8274		m2565 + m3108  => m2559 + m2642 	(ENSG00000130383) or (ENSG00000156413) or (ENSG00000171124)	0	 -0.00	1000.00	  0.00
HMR_8275		m3077 + m4116  => m3106 + m4098 	(ENSG00000176597)	0	 -0.00	1000.00	  0.00
HMR_8276		m3106 + m4105  => m3108 + m4098 	(ENSG00000183778)	0	 -0.00	1000.00	  0.00
HMR_8277		m3106 + m4105  => m3083 + m4098 	(ENSG00000179913)	0	 -0.00	1000.00	  0.00
HMR_8278		m3083 + m4116  => m3406 + m4098 	(ENSG00000170340)	0	 -0.00	1000.00	  0.00
HMR_8280		m2565 + m3083  => m2559 + m4086 	(ENSG00000176920)	0	 -0.00	1000.00	  0.00
HMR_8284		m4086 + m4113  => m1580 + m4098 	(ENSG00000256062)	0	 -0.00	1000.00	  0.00
HMR_8285		m1580 + m4105  => m2514 + m4098 	(ENSG00000179913)	0	 -0.00	1000.00	  0.00
HMR_8286		m2514 + m2565  => m2559 + m4088 	(ENSG00000176920)	0	 -0.00	1000.00	  0.00
HMR_8318		m2088 + m3108  => m1581 + m2081 	(ENSG00000110080) or (ENSG00000126091)	0	 -0.00	1000.00	  0.00
HMR_8319		m1581 + m2565  => m2559 + m2944 	(ENSG00000171124)	0	 -0.00	1000.00	  0.00
HMR_8325		m2088 + m3083  => m2081 + m3798 	(ENSG00000064225)	0	 -0.00	1000.00	  0.00
HMR_8327		m2088 + m3798  => m977 + m2081 	(ENSG00000101638)	0	 -0.00	1000.00	  0.00
HMR_0712		m2930 + m3368  => m1642 + m2095 + m2719 + m3374 	(ENSG00000182054)	0	 -0.00	1000.00	  0.00
HMR_4228		m1010 + m3440  => m838 	(ENSG00000162882)	0	 -0.00	1000.00	  0.00
HMR_4251		m2714 + m3692 + m3711  => m2092 + m3400 + m3643 	(ENSG00000103485)	0	 -0.00	1000.00	  0.00
HMR_4252		m2722 + m3400  => m3399 + m3631 	(ENSG00000076685) or (ENSG00000116981) or (ENSG00000122643) or (ENSG00000125458) or (ENSG00000135318) or (ENSG00000141698) or (ENSG00000146587) or (ENSG00000205309)	0	 -0.00	1000.00	  0.00
HMR_4255		m2172 + m2722  => m1672 + m3400 	(ENSG00000112874) or (ENSG00000197594)	0	 -0.00	1000.00	  0.00
HMR_4257		m1720 + m3400  <=> m2172 + m3643 	(ENSG00000157064) or (ENSG00000163864) or (ENSG00000173614)	1	-1000.00	1000.00	  0.00
HMR_4259		m2714 + m2722 + m3394  => m3387 + m3400 		0	 -0.00	1000.00	  0.00
HMR_4260		m1720 + m2172 + m2605 + m2722  => m1672 + m2600 + m3355 + m3643 	(ENSG00000172890)	0	 -0.00	1000.00	  0.00
HMR_4261		m1720 + m2172 + m3387  => m1672 + m3355 + m3643 	(ENSG00000172890)	0	 -0.00	1000.00	  0.00
HMR_4262		m3394 + m3643  <=> m3397 + m3692 	(ENSG00000105835)	1	-1000.00	1000.00	  0.00
HMR_4263		m2722 + m3355  => m1672 + m2714 + m3394 	(ENSG00000112874)	0	 -0.00	1000.00	  0.00
HMR_4264		m2714 + m2722 + m3394  => m3396 + m3631 	(ENSG00000076685) or (ENSG00000116981) or (ENSG00000122643) or (ENSG00000125458) or (ENSG00000135318) or (ENSG00000141698) or (ENSG00000205309)	0	 -0.00	1000.00	  0.00
HMR_4265		m1720 + m3396  => m1606 + m2714 + m3394 	(ENSG00000077009) or (ENSG00000106733)	0	 -0.00	1000.00	  0.00
HMR_4269		m1720 + m3355  => m1606 + m3365 	(ENSG00000008130) or (ENSG00000152620)	0	 -0.00	1000.00	  0.00
HMR_4270		m2722 + m3365  => m3355 + m3631 	(ENSG00000143727) or (ENSG00000155893) or (ENSG00000162836)	0	 -0.00	1000.00	  0.00
HMR_4271		m2714 + m3362 + m3366  => m2717 + m3356 + m3372 	(ENSG00000112992)	0	 -0.00	1000.00	  0.00
HMR_4276		m1723 + m3401  <=> m2173 + m3645 	(ENSG00000173614)	1	-1000.00	1000.00	  0.00
HMR_4278		m1723 + m2173 + m3389  => m1676 + m3357 + m3645 	(ENSG00000172890)	0	 -0.00	1000.00	  0.00
HMR_4662		m3399 + m3631  => m2714 + m3402 + m3730 	(ENSG00000198805)	0	 -0.00	1000.00	  0.00
HMR_7142		m2729 + m3360  => m1617 + m2721 + m3398 	(ENSG00000109743)	0	 -0.00	1000.00	  0.00
HMR_7143		m2722 + m3355  => m1616 + m2714 + m3397 	(ENSG00000109743)	0	 -0.00	1000.00	  0.00
HMR_7623		m362 + m3355  => m381 + m2714 + m3397 	(ENSG00000077463) or (ENSG00000111339) or (ENSG00000129744) or (ENSG00000167311)	0	 -0.00	1000.00	  0.00
HMR_7625		m362 + m3355  => m3309 + m3397 	(ENSG00000077463) or (ENSG00000111339) or (ENSG00000129744) or (ENSG00000167311)	0	 -0.00	1000.00	  0.00
HMR_7627		m2722 + m3365  => m1618 + m2714 + m3397 	(ENSG00000109743)	0	 -0.00	1000.00	  0.00
HMR_8788		m2729 + m3370  => m1619 + m2721 + m3398 	(ENSG00000109743)	0	 -0.00	1000.00	  0.00
HMR_8790		m1723 + m2718 + m3395  => m3357 + m3645 	(ENSG00000173614)	0	 -0.00	1000.00	  0.00
HMR_8791		m2714 + m3397 + m3730  <=> m3396 + m3631 	(ENSG00000198805)	1	-1000.00	1000.00	  0.00
HMR_3871		m1720 + m2215  => m1606 + m2098 	(ENSG00000068120)	0	 -0.00	1000.00	  0.00
HMR_4058		m1722 + m2217  => m1608 + m2101 	(ENSG00000068120)	0	 -0.00	1000.00	  0.00
HMR_4714		m1720 + m3539  => m1606 + m3615 	(ENSG00000120137) or (ENSG00000125779) or (ENSG00000152782) or (ENSG00000157881)	0	 -0.00	1000.00	  0.00
HMR_4715		m1722 + m3540  => m1608 + m3616 	(ENSG00000120137) or (ENSG00000125779) or (ENSG00000152782) or (ENSG00000157881)	0	 -0.00	1000.00	  0.00
HMR_4716		m3437  => m2092 + m3539 	(ENSG00000105607) or (ENSG00000161860)	0	 -0.00	1000.00	  0.00
HMR_4718		m1720 + m3541  => m1606 + m2150 	(ENSG00000120137) or (ENSG00000125779) or (ENSG00000152782) or (ENSG00000157881)	0	 -0.00	1000.00	  0.00
HMR_4723		m2130 + m2137 + m2150  => m319 + m2080 + m3643 	(ENSG00000127125)	0	 -0.00	1000.00	  0.00
HMR_4725		m319  => m2092 + m3615 	(ENSG00000138621)	0	 -0.00	1000.00	  0.00
HMR_4727		m1720 + m3615  <=> m2215 + m3643 	(ENSG00000068120)	1	-1000.00	1000.00	  0.00
HMR_4730		m319 + m1606  <=> m1720 + m3437 	(ENSG00000120137) or (ENSG00000125779) or (ENSG00000152782) or (ENSG00000157881)	1	-1000.00	1000.00	  0.00
HMR_4731		m320 + m1608  <=> m1722 + m3438 	(ENSG00000120137) or (ENSG00000125779) or (ENSG00000152782) or (ENSG00000157881)	1	-1000.00	1000.00	  0.00
HMR_4732		m2215 + m2722  => m1672 + m3615 	(ENSG00000197594)	0	 -0.00	1000.00	  0.00
HMR_4733		m320  => m2094 + m3616 	(ENSG00000138621)	0	 -0.00	1000.00	  0.00
HMR_4734		m1722 + m3616  => m2217 + m3644 	(ENSG00000068120)	0	 -0.00	1000.00	  0.00
HMR_7731		m2100 + m2724  => m2216 + m3633 	(ENSG00000134575)	0	 -0.00	1000.00	  0.00
HMR_0663		m2722 + m3628  => m395 + m2922 	(ENSG00000101333) or (ENSG00000114805) or (ENSG00000115556) or (ENSG00000115896) or (ENSG00000124181) or (ENSG00000137841) or (ENSG00000138193) or (ENSG00000154822) or (ENSG00000161714) or (ENSG00000187091) or (ENSG00000197943)	0	 -0.00	1000.00	  0.00
HMR_6540		m2722 + m2922  => m2919 + m3631 	(ENSG00000104331) or (ENSG00000133731) or (ENSG00000141401)	0	 -0.00	1000.00	  0.00
HMR_6542		m1720 + m3628  => m743 + m1606 	(ENSG00000078142)	0	 -0.00	1000.00	  0.00
HMR_6543		m743 + m2722  => m3628 + m3631 	(ENSG00000150712) or (ENSG00000171100)	0	 -0.00	1000.00	  0.00
HMR_6544		m743 + m1720  => m748 + m1606 	(ENSG00000115020)	0	 -0.00	1000.00	  0.00
HMR_6545		m748 + m2722  => m743 + m3631 	(ENSG00000054148) or (ENSG00000063601) or (ENSG00000087053) or (ENSG00000111077) or (ENSG00000111696) or (ENSG00000112367) or (ENSG00000117598) or (ENSG00000125458) or (ENSG00000126821) or (ENSG00000137770) or (ENSG00000139304) or (ENSG00000139505) or (ENSG00000144048) or (ENSG00000158079) or (ENSG00000160539) or (ENSG00000163719) or (ENSG00000165458) or (ENSG00000165688) or (ENSG00000198825) or (ENSG00000205309) or (ENSG00000205808) or (ENSG00000211456) or (ENSG00000213920)	0	 -0.00	1000.00	  0.00
HMR_6546		m1720 + m3628  => m744 + m1606 	(ENSG00000038210) or (ENSG00000143393) or (ENSG00000155252) or (ENSG00000241973)	0	 -0.00	1000.00	  0.00
HMR_6547		m744 + m2722  => m3628 + m3631 	(ENSG00000054148) or (ENSG00000063601) or (ENSG00000087053) or (ENSG00000111077) or (ENSG00000111696) or (ENSG00000112367) or (ENSG00000117598) or (ENSG00000125458) or (ENSG00000126821) or (ENSG00000137770) or (ENSG00000139304) or (ENSG00000139505) or (ENSG00000144048) or (ENSG00000158079) or (ENSG00000160539) or (ENSG00000163719) or (ENSG00000165458) or (ENSG00000165688) or (ENSG00000198825) or (ENSG00000205309) or (ENSG00000205808) or (ENSG00000211456) or (ENSG00000213920)	0	 -0.00	1000.00	  0.00
HMR_6548		m744 + m1720  => m741 + m1606 	(ENSG00000011405) or (ENSG00000133056) or (ENSG00000141506)	0	 -0.00	1000.00	  0.00
HMR_6549		m741 + m2722  => m743 + m3631 	(ENSG00000040933) or (ENSG00000109452)	0	 -0.00	1000.00	  0.00
HMR_6550		m741 + m2722  => m744 + m3631 	(ENSG00000171862)	0	 -0.00	1000.00	  0.00
HMR_6551		m744 + m1720  => m1606 + m3609 	(ENSG00000107242) or (ENSG00000143398) or (ENSG00000186111)	0	 -0.00	1000.00	  0.00
HMR_6552		m2722 + m3609  => m744 + m3631 	(ENSG00000078269) or (ENSG00000122126) or (ENSG00000148384) or (ENSG00000159082) or (ENSG00000204084)	0	 -0.00	1000.00	  0.00
HMR_6553		m2722 + m3609  => m746 + m3631 	(ENSG00000155099) or (ENSG00000165782)	0	 -0.00	1000.00	  0.00
HMR_6554		m746 + m1720  => m1606 + m3609 	(ENSG00000141720) or (ENSG00000150867) or (ENSG00000166908)	0	 -0.00	1000.00	  0.00
HMR_6555		m1720 + m3609  => m1606 + m3606 	(ENSG00000051382) or (ENSG00000105647) or (ENSG00000121879) or (ENSG00000141506) or (ENSG00000145675) or (ENSG00000171608) or (ENSG00000174083)	0	 -0.00	1000.00	  0.00
HMR_6556		m2722 + m3606  => m3609 + m3631 	(ENSG00000171862)	0	 -0.00	1000.00	  0.00
